               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028014,           0.0075807,                   0,             0.90469,             0.97354,              0.9777,             0.66935,            0.024218,           0.0049293,                   0,            0.005545,            0.005545,            0.005545
                  38,            0.027021,           0.0075108,                   0,             0.91202,              0.9746,              0.9809,             0.65449,            0.024012,           0.0048037,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,             0.02748,           0.0078293,                   0,             0.89306,             0.99923,             0.97923,             0.65972,            0.023338,           0.0047825,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.027307,           0.0072291,                   0,             0.87745,             0.98291,             0.97202,             0.65591,            0.024357,           0.0048101,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,            0.027537,           0.0072536,                   0,              0.8763,             0.97436,             0.96127,             0.63188,            0.024982,            0.004849,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.027004,           0.0071268,                   0,             0.93841,             0.91154,             0.96006,             0.64909,            0.023893,           0.0048037,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.025137,           0.0070313,                   0,             0.90792,             0.95726,             0.96023,             0.63659,            0.023972,           0.0047554,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,            0.026484,           0.0074247,                   0,             0.90491,             0.97436,             0.96944,             0.65558,            0.023184,           0.0046719,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.027744,           0.0077532,                   0,             0.90265,               0.951,             0.96519,              0.6456,            0.023266,           0.0047361,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.027101,           0.0074617,                   0,             0.91589,             0.93074,             0.95676,             0.66638,            0.023118,           0.0046307,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.026406,           0.0073133,                   0,             0.93111,             0.92423,             0.96886,             0.65782,            0.023142,           0.0045606,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.027621,           0.0073035,                   0,             0.90391,             0.96485,             0.97405,             0.65833,            0.024118,           0.0045878,                   0,           0.0041837,           0.0041837,           0.0041837
